pos_group,bracket,age,pct_overall,pct_pace,pct_shooting,pct_passing,pct_dribbling,pct_defending,pct_physic,sample_size
FB,50-59,33,0.9973289349458258,0.9948899371069182,0.999074074074074,1.0,0.9972954699121027,0.9942459930238033,0.9977052524222335,20
FB,50-59,34,1.0,0.9891246684350132,1.0,0.9970652971386648,0.9988109393579072,1.0,0.9984174154636093,29
FB,50-59,35,0.998696219035202,0.9546597633136094,1.0,0.9986504723346828,0.9761273209549072,1.0,0.9848585886321735,13
FB,60-69,16,0.891941391941392,0.8871929666680096,0.8399200666794195,0.82292217778475,0.8796229247792574,0.9308989829336506,0.871506924448101,7
FB,60-69,17,0.9368632466405297,0.9567762583940428,0.9202348642118166,0.9042879846715179,0.9366005654653924,0.9469861001717171,0.9400963795802026,180
FB,60-69,18,0.956625437507915,0.969570647333143,0.9489135821952083,0.9388309845036171,0.9580129052937792,0.962716928093931,0.9549194447436744,676
FB,60-69,19,0.9627262019927925,0.9725326474361108,0.9493909411983941,0.9488530198481807,0.962323281456338,0.9684082216038465,0.9620794699329985,1204
FB,60-69,20,0.9707844895068222,0.9760370106794937,0.9612169570400673,0.9580987062989902,0.9694768872519727,0.974014572963413,0.967295843681247,1822
FB,60-69,21,0.9788018645746923,0.9813498950653954,0.9669888336720784,0.971198618169789,0.9792451453790655,0.9814267738236749,0.9749719611110484,2445
FB,60-69,22,0.9805860520527957,0.981120197725173,0.9668853129505445,0.9731146981267575,0.9798615723117664,0.9812275856134962,0.9751510068701396,2581
FB,60-69,23,0.9822794705845406,0.9812775497672097,0.9725327758033102,0.9776434267329883,0.9818613172170348,0.9829229459626273,0.9781534138136188,2359
FB,60-69,24,0.9839572834999492,0.9815802581891073,0.9724752331586303,0.9785253521857556,0.9831776377006194,0.9821965520459367,0.9800216112215885,2338
FB,60-69,25,0.9833436804756293,0.9785908904732306,0.9751666216278665,0.9793853011793366,0.9789515560333744,0.9789047934145142,0.980076597216282,2236
FB,60-69,26,0.9830328086208259,0.9789942038612118,0.9781466607175593,0.981904096304562,0.981934541378598,0.9777076449428893,0.9809163019040147,2100
FB,60-69,27,0.9833696791103328,0.9751345486672746,0.9786577624966732,0.9810468197213089,0.9801248987192086,0.9763548750512366,0.9827480131961722,1777
FB,60-69,28,0.9822668399939531,0.9712377846803109,0.9786191554171073,0.9803469106970043,0.9779969261590241,0.9759751791955696,0.9793468319024182,1592
FB,60-69,29,0.9839060689217379,0.9714183970397041,0.9786169266064221,0.9822990035629083,0.9811419388341709,0.9755369730222194,0.9823630874206152,1304
FB,60-69,30,0.9825437649220462,0.9576397007646594,0.9749103219167972,0.980554941722989,0.9783295026010083,0.9758711105464972,0.9803101804944527,1096
FB,60-69,31,0.9792155196361539,0.9501602074328442,0.9756710831917299,0.9784806069893114,0.9738566103654213,0.971842100671837,0.9797632901895226,882
FB,60-69,32,0.9822399727450712,0.9534833023822527,0.9818848804796204,0.9823700473200322,0.9735163806439701,0.9761529810409802,0.9780580223565972,753
FB,60-69,33,0.9804668517840074,0.9326259401617323,0.9837652348975627,0.9828557632200771,0.9792675422678159,0.9771130969390908,0.9808312328730816,530
FB,60-69,34,0.9800840541167123,0.9420857510523699,0.9812164770309595,0.9830864099956738,0.975458478933403,0.9805303979208577,0.9684372343956645,317
FB,60-69,35,0.9787313279082672,0.9369466092634742,0.9768229581970586,0.9827482247753956,0.9757814198174434,0.9738690921732535,0.9721373635347795,171
FB,70-79,17,0.8083996301612241,0.8723941307030093,0.7212441101913712,0.7492902917823635,0.8137141290288566,0.8227313136923406,0.8252985614381438,42
FB,70-79,18,0.8669773331155977,0.9152790349348077,0.8146314408989481,0.8307732675801107,0.8801395141664046,0.8762264468339638,0.8770723232256655,146
FB,70-79,19,0.9073675155379316,0.9399684126566566,0.8668464583202146,0.8827709272264418,0.9123091966648855,0.9156408830195252,0.913126880887684,362
FB,70-79,20,0.9223712708265168,0.9504678576960177,0.8750393320246234,0.898783344519749,0.9245967344987951,0.929139051938544,0.9220513544491563,488
